Код,"Альтернативный код",Бренд,Наименование,Применение,"Цена закупки","Цена продажи",Количество,Склад,"Локальный склад?","Фото детали"
392103C100,KM0900806OE/KM0900806RBLT/Z09SENRE00820,TOPIC,"Лямбда зонд передний левый","Sonata NF 3,3L Veracruz Grandeur Santa Fe Opirus",0,1035,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/392103c100-topic-02.jpg
934201G051,934201G050,KIA-HYUNDAI,"Переключатель подрулевой (стеклоочистителя)","Accent 06-11 Rio 06-11",0,1125,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/934201g051-kia-02.jpg
863931G201,863931G200,KIA-HYUNDAI,"Плёнка стойки двери задней правой","Rio 05-11 5DR",0,63,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/863931g201-kia-01.jpg
3918022090,6PU009146401/H09SENRE00665/KM0900270/KM0900270RBLT/SS1015212B1/138160/1953187/3918022060,TOPIC,"Датчик положения коленвала","Accent 94-04 1,3L 1,5L Excel S-Coupe",0,261,1,"Кременчуг - 1",1,
2306002612,2306002513/2306002610/2306002815,KIA-HYUNDAI,"Вкладиші шатунні (STD-B) (на 1 шийку)","Getz 1.1i Picanto 1.1i",0,126,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2306002612-hyundai-02.jpg
826522H000,,KIA-HYUNDAI,"Колпачок ручки наружной двери передней","i30 06~ Elantra 06~",0,86,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/826522h000-hyundai-02.jpg
944602V000,PDA626,KIA-HYUNDAI,"Датчик уровня топлива","Veloster 11~",0,954,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/944602v000-hyundai-01.jpg
WY5W,12396NAB2/12396NACP/12961CP/1579A/2825HCBI/N501A/OS2825/12396/1987301033/1987302206,OSRAM,"Автолампа W5W 12V",UNIV,0,34,1,"Кременчуг - 1",1,
KM0100709,1032A101/222262G000/222262G001/2222625000/2222625001/2222625201,TOPIC,"Толкатель клапана T=3,000","Sonata NF Cerato Magentis Carens",0,216,6,"Кременчуг - 1",1,
2561232520,2561221000/2561232500,KAP-NA,"Прокладка термостата","Univ old",0,23,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2561232520-kap-na-01.jpg
st_001,,"- - -","Страховка груза",,0,1,2,"Кременчуг - 1",1,
SLKK44,548302K000/CLK033L/CLKK37L/DLKK44/J4960325/J60340YMT/K07LNKSD02646/KILS10613/KM0702797/LKK30L/PXCLB037/PXCLB037S/QL0640P/SL2039/SLK0081/SLK8520L/SLKK044/SMSLK039/SP0847/SQLKK30L/YLK39,DOOHAP,"Стойка стабилизатора переднего левая","Soul ~12",0,135,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/slkk44-doohap-02.jpg
P83201H000,,KIA-HYUNDAI,"Накладка дверей багажника декоративная","Cee'd хэтчбек I 2006 - 2012",0,648,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/p83201h000-kia-02.jpg
2831026370,,KIA-HYUNDAI,"Коллектор впускной","Accent 06~ Rio 05~",0,1332,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2831026370-hyundai-03.jpg
866141M300,,KIA-HYUNDAI,"Кронштейн бампера заднего  правый","Cerato 08~",0,122,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/866141m300-kia-02.jpg
