price	title	description	link	image_link	id	availability	product_type
72.00 UAH	Мусс Из Гусиной Печени с Шампанским "Pate Du Chef"	Легкий мусс из утиной печени, приготовленный с добавлением сливок и шампанского отличается изысканным аромат и тонким букетом вкусовых ощущений. Мус хорошо подходит для приготовления бутербродов и канапе.	https://foodlogistic.com.ua/ru/muss_iz_gusinoy_pecheni_s_shampanskim_125g/	https://foodlogistic.com.ua/content/images/5/390x390l80tl0/92897610513231.jpeg	1196	in stock	Каталог
60.30 UAH	Мусс Утиный с Портвейном "Pate Du Chef"	Паштет очень вкусный и немного необычный. Он слегка сладковатый, но пикантный и интересный, а портвейн добавляет вкусу изысканности и шарма! Попробуйте, такой паштет прекрасно дополнит любое меню!	https://foodlogistic.com.ua/ru/muss_utinyy_s_portveynom_125g/	https://foodlogistic.com.ua/content/images/7/390x390l80tl0/15101410979651.png	1197	in stock	Каталог
81.00 UAH	Колбаса Сальчичон Алькасар "Carchelejo"	Сальчичон - испанский колбаса из мяса иберийской свиньи. Имеет своеобразный вкус, который оценят по достоинству любители интересной кухни. В фарш этих колбас добавляют много черного перца и кориандр и не добавляют паприку и чеснок. Страна производитель: испания	https://foodlogistic.com.ua/ru/kolbasa_salchichon_alkasar_carchelejo_90g/	https://foodlogistic.com.ua/content/images/33/390x390l80tl0/15328157569609.jpeg	1214	in stock	Каталог
154.00 UAH	Хамон Курадо 10 Месяцев Выдержки "Carchelejo"	Состав: свинина (ветчина), соль, консервант Е-250 и Е-252, антиоксидант Е-300, декстроза. Без гмо. Страна производитель: испания	https://foodlogistic.com.ua/ru/khamon_kurado_10_mesyatsev_vyderzhki_carchelejo_100gr/	https://foodlogistic.com.ua/content/images/19/336x336l80tl0/82430772928510.jpeg	1233	in stock	Каталог
107.00 UAH	Хамон Subirats "Jamon Serrano"	Хамон subirats jamon serrano – настоящий испанский деликатес, представляющий собой нарезанный тонкими ломтиками сыровяленый свиной окорок. Хамон имеет очень приятный аромат, нежную текстуру и непревзойденный вкус. Ломтики хамона обладают красивым бордово-коричневым цветом, с вкраплениями заметных светлых жировых прожилок. Это отличный подарок для любого гурмана, а в сочетании с хорошим вином – прекрасное угощение на праздничный стол. Хамон хорошо сочетается со сладкими фруктами (инжиром, дыней, грушей или финиками), а также с маслинами. Страна производитель: испания	https://foodlogistic.com.ua/ru/khamon_subirats_jamon_serrano_100g/	https://foodlogistic.com.ua/content/images/49/390x390l80tl0/32646012724526.jpeg	1406	in stock	Каталог
159.00 UAH	Колбаса Сухая с Грецкими Орехами Нарезанная 90г	Страна производитель: франция	https://foodlogistic.com.ua/ru/kovbasa-sukha-z-voloskimi-gorikhami-narizana-90g-bastides/	https://foodlogistic.com.ua/content/images/9/285x390l80tl0/38627585299481.jpeg	42814	in stock	Каталог
159.00 UAH	Колбаса Сухая с Сыром Рокфор Нарезанная 90г	Страна производитель: франция	https://foodlogistic.com.ua/ru/kovbasa-sukha-z-sirom-rokfor-narizana-90g-bastides/	https://foodlogistic.com.ua/content/images/10/294x390l80tl0/80370323421609.jpeg	42815	in stock	Каталог
429.00 UAH	Утиный Риети 175г	Страна производитель: франция	https://foodlogistic.com.ua/ru/kachiniy-riiet-175g-les-delices-de-saint-orens/	https://foodlogistic.com.ua/content/images/24/352x390l80tl0/16386652201134.jpeg	47642	in stock	Каталог
449.00 UAH	Утиный Террин с Оливками 175г	Страна производитель: франция	https://foodlogistic.com.ua/ru/kachiniy-terrin-z-olivkami-175g-les-delices-de-saint-orens/	https://foodlogistic.com.ua/content/images/7/353x390l80tl0/77187681617687.jpeg	47644	in stock	Каталог
129.00 UAH	Чоризо Коктейльные 80г	Страна производитель: франция	https://foodlogistic.com.ua/ru/chorizo-kokteylni-80g-bastides/	https://foodlogistic.com.ua/content/images/50/293x390l80tl0/55447207967284.jpeg	28454	in stock	Каталог
