price	title	description	link	image_link	id	availability	product_type
123.00 UAH	Ежевика	Состав ежевики химический состав: калий; магний; кальций; марганец; медь; витамины с, к, В6, В2, В1, В4, А; натрий; фосфор; цинк; железо селен. Благодаря такому составу продукт лечебный и полезный для организма. Калорийность ежевики расчет пищевой ценности на 100 г ягод: калорийность ежевики – 43 ккал; белки – 1,4 г; углеводы – 4,3 г; жиры – 0,5 г. Учитывая эту информацию можно сделать вывод, что ежевика - низкокалорийный продукт.	https://foodlogistic.com.ua/ru/ezhevika_0100_kg/	https://foodlogistic.com.ua/content/images/19/520x390l80tl0/70350264659437.jpeg	69	in stock	Каталог
16.80 UAH	Малина	Малина — ценная ягода, в которой содержатся витамины a, b, c. Малину рекомендуют есть тем, чья работа связана с постоянным нервным напряжением, а также при малокровии и заболеваниях желудочно-кишечного тракта.	https://foodlogistic.com.ua/ru/malina_0100_kg/	https://foodlogistic.com.ua/content/images/27/585x390l80tl0/76509411007004.jpeg	157	in stock	Каталог
14.00 UAH	Клубника	В ягодах клубники содержится много клетчатки, необходимой для здоровья кишечника. Особенно полезна ягода в свежем виде – после тепловой обработки или заморозки клубника лишается многих витаминов и минералов. При этом ягода в варенье вбирает массу лишнего сахара, в то время как свежая клубника содержит не слишком много калорий. Низкий гликемический индекс позволяет лакомиться ягодой даже диабетикам. В клубнике много витамина с, чья польза для иммунитета, здоровья кожи, волос и ногтей, неоспорима.	https://foodlogistic.com.ua/ru/klubnika_0.100_kg/	https://foodlogistic.com.ua/content/images/43/390x390l80tl0/48083186716124.jpeg	405	in stock	Каталог
11.00 UAH	Баклажан	Баклажан — продукт низкокалорийный, но содержит витамины группы в, витамин с, рр и каротин, а также такие необходимые организму минеральные вещества, как калий, железо, кальций, магний, натрий и фосфор. Баклажаны препятствуют образованию холестерина.	https://foodlogistic.com.ua/ru/baklazhan/	https://foodlogistic.com.ua/content/images/41/585x390l80tl0/61282797242026.jpeg	1322	in stock	Каталог
9.00 UAH	Цукини	Цукини представляет собой европейский сорт кабачков, который относится к семейству тыквенных. Имеет особую цилиндрическую форму и кожуру зеленых оттенков, которые могут быть от светлых до насыщенно темных. Среди витаминов в цукини присутствуют следующие: в, с, рр, а, е. Похвастаться овощ может и разнообразным содержанием минералов, среди которых особую ценность представляют: кальций, фосфор, калий, магний, железо, натрий и некоторые другие. Помимо этого в составе цукини имеются пектины, каротин, клетчатка, углеводы, фолиевая кислота, сахара, зола, пищевые волокна, чистая вода, жиры и различные кислоты. Энергетическая ценность цукини выглядит следующим образом: белки – полтора грамма, углеводы – три грамма, жиры – 0,2 грамма. Калорийность продукта выглядит смешной и составляет всего лишь от шестнадцати до двадцати пяти килокалорий на сто грамм продукта. Такой непостоянный показатель зависит от сорта цукини и способа его приготовления.	https://foodlogistic.com.ua/ru/tsukini/	https://foodlogistic.com.ua/content/images/45/300x202l80tl0/13313738567146.jpeg	1324	in stock	Каталог
11.00 UAH	Брокколи	Этот овощ богат на витамины и минералы, среди которых витамины а, В9, к, с, а также калий, фосфор, железо, кальций и магний. По количеству кальция брокколи не уступает даже молоку, а также содержит суточную норму витамина с! Капуста брокколи невероятно полезна людям, которые страдают от сердечно-сосудистых заболеваний.	https://foodlogistic.com.ua/ru/brokkoli_01_kg/	https://foodlogistic.com.ua/content/images/47/598x390l80tl0/76002746078673.jpeg	1325	in stock	Каталог
16.00 UAH	Батат	Батат содержит много ценных веществ. Во-первых, он богат витаминами а, с, е, к, группы в. Особенно много в нем витамина В6, благодаря которому батат укрепляет сосуды и помогает урегулировать кровяное давление. Его можно причислять к антиоксидантам: содержащаяся в нем аскорбиновая кислота защищает организм от свободных радикалов. Также плод имеет широкую палитру микроэлементов — тут можно найти калий, кальций, фосфор, железо. Благодаря калию он благотворно воздействует на нервную систему и даже обладает антидепрессивными свойствами. Поэтому батат советуют употреблять при хронической усталости, частых стрессах и бессоннице.	https://foodlogistic.com.ua/ru/batat_0100_kg/	https://foodlogistic.com.ua/content/images/1/352x285l80tl0/32392774150933.png	1327	in stock	Каталог
108.00 UAH	Лук-шалот	Состав лука-шалота Лук-шалот обладает уникальным витаминным и минеральным составом. В нем много таких элементов, которые присущи только этому виду, например, ванадий, хром, кобальт и селен. Кроме того, он содержит все минеральные вещества, которые содержатся в обычном репчатом луке, например, кальций, марганец, медь, кобальт, цинк, фтор, молибден, йод, железо и никель. Также в нём много витаминов В3, В5, В1, В6, В9, а и с.	https://foodlogistic.com.ua/ru/luk-shalot_0.250_kg/	https://foodlogistic.com.ua/content/images/5/512x340l80tl0/40798981013444.jpeg	1329	in stock	Каталог
4.00 UAH	Огурец	Пищевая ценность огурца в первую очередь обусловлена ​​высоким содержанием:⁣⁣⠀ лютеина и зеаксантина – веществ, которые накапливаются в тканях глаза и обеспечивают эффективную их защиту и сохранение зрения. В 100 г огурцов содержание этих каротиноидов в три раза больше суточной потребности;⁣⁣⠀ фитостеролов, подобных своей структурой холестерину, а потому замещают его в организме. Таким образом, при употреблении огурцов фитостеролы подавляют всасывание холестерина из пищеварительного тракта. Холестерин лучше выводится из организма и уменьшается его уровень в крови. ⁣⁣⠀	https://foodlogistic.com.ua/ru/ogurets/	https://foodlogistic.com.ua/content/images/9/390x390l80tl0/46435781290662.jpeg	1331	in stock	Каталог
2.00 UAH	Кабачок	Плоды кабачка имеют вытянутую овальную форму, светло-зеленого, желтого или практически белого цвета. Мякоть у кабачка плотная и упругая, у молодых овощей очень сочная.    Производитель: украина	https://foodlogistic.com.ua/ru/kabachok-100g/	https://foodlogistic.com.ua/content/images/28/350x350l80tl0/kabachok-100g-95227409464916.jpg	5931	in stock	Каталог
8.00 UAH	Ревень	Овощ имеет большие листья и толстые мясистые черешки красного цвета. Его съедобная часть - стебель, кисловато-пряный вкус ревеня странным образом напоминает одновременно яблоко и клубнику.    Производитель: украина	https://foodlogistic.com.ua/ru/revin-100g/	https://foodlogistic.com.ua/content/images/39/390x390l80tl0/revin-100g-74948079295168.jpeg	5942	in stock	Каталог
87.00 UAH	Лемонграсс	Лемонграсс – пожалуй, самая популярная в азии трава, которую можно найти повсеместно: в качестве приправы, заварки. У него довольно большой список полезных свойств, а кроме того он очень приятен на вкус и запах.    Своим внешним видом эта трава напоминает веселый фонтан брызг, а по вкусу – смесь лимона и имбиря. В азии лемонграсс – неотъемлемая часть кулинарной жизни: его кладут в салаты, супы и соусы, сдабривают рыбу и мясо, а также используют как основу для вкусного аутентичного напитка, который готовится очень просто и пользуется большой популярностью. Таким напитком часто встречают гостей в отелях, желая удивить и порадовать их чем-то особенным. Сами азиаты предпочитают подавать лемонграссовый настой в охлажденном виде, со льдом, но в менее жарких странах, где люди ценят горячие напитки, лимонная трава отлично подходит для более привычного нам горячего чая	https://foodlogistic.com.ua/ru/lemongras-100gr/	https://foodlogistic.com.ua/content/images/2/604x390l80tl0/lemongras-100gr-14893026328273.jpg	11114	in stock	Каталог
15.00 UAH	Фенхель	Страна происхождения: нидерланды минимальный вес: 300 гр t°С храненияя: от +4 °С до +10 °С	https://foodlogistic.com.ua/ru/fenkhel-100g/	https://foodlogistic.com.ua/content/images/41/390x390l80tl0/71511559417383.jpeg	15991	in stock	Каталог
14.00 UAH	Айва	Страна происхождения: турция минимальный вес: 500 гр t°С храненияя: от +2 °С до +6 °С	https://foodlogistic.com.ua/ru/ayva-100g/	https://foodlogistic.com.ua/content/images/45/397x390l80tl0/75374734991499.jpeg	10171	in stock	Каталог
28.00 UAH	Фризе	Страна происхождения: испания минимальный вес: 250 гр t°С храненияя: от +4 °С до +10 °С	https://foodlogistic.com.ua/ru/frize-100g/	https://foodlogistic.com.ua/content/images/8/390x390l80tl0/57400923828823.jpeg	16111	in stock	Каталог
