Price	Item title	Item description	Final URL	Image URL	ID	Item Category
1647 UAH	Thalgo Актив Блокатор Калорий Thalgo Active Slimming Blocker  45 Капсул	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/aktiv_pohudenie_blokator_active_slimming_blocker	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt17023activminceurcapteur-458x458.jpg	VT17023	Thalgo
1173 UAH	Thalgo Актив Детокс Thalgo Active Detox  10 Ампул	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/aktiv_detoks_active_detox	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt16018activdetox-458x458.jpg	VT16018	Thalgo
1235 UAH	Thalgo Актив Дренаж Thalgo Active Drainage  500ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/aktiv_drenazh_active_drainage	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt16019activdraineur500ml-458x458.jpg	VT16019	Thalgo
1647 UAH	Thalgo Актив Похудение Сжигание Thalgo Active Slimming Burning  30 Капсул	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/aktiv_pohudenie_szhiganie_active_slimming_burning	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt17024activbruleur-458x458.jpg	VT17024	Thalgo
2703 UAH	Thalgo Активатор Коллагена 10 000 Collagen 10 000 Wrinkle Correcting 10 Ампул	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/krasota-iznutri/bady/thalgo_collagen_wrinkle_correcting	https://healthytrends.com.ua/image/cache/catalog/Thalgo/vtetuicollagene10000-458x458.png	VT19016	Нутрицевтика
1214 UAH	Thalgo Живительная Морская Вода  Thalgo l'OceAne  Plasma Marin Hypertonique   20 Ампул	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/loceane__zhivitelnaya_morskaya_pitevaya_voda_plasma_marin_hypertonique	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt16035oceane-458x458.jpg	VT16035	Thalgo
1521 UAH	Thalgo Коуч Живот и Талия  Thalgo Coach Stomach & Waist  30 Капсул	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/krasota-iznutri/kouch_zhivot_i_taliya_coach_stomach__waist	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt17026coachventretaille-458x458.jpg	VT17026	Нутрицевтика
1859 UAH	Thalgo Коуч Против Эффекта Апельсиновой Корки Thalgo Coach Anti-Orange Peel Effect  10 Ампул	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/kouch_protiv_effekta_apelsinovoy_korki_coach_antiorange_peel_effect	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt16033coachanticapitons-458x458.jpg	VT16033	Thalgo
1679 UAH	Thalgo Меносвелт 45+   Thalgo Menosvelt 45+  30 Капсул	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/menosvelt_45_menosvelt_minceur_refining	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt16036menosvelt-458x458.jpg	VT16036	Thalgo
1238 UAH	Thalgo Spiruline Boost  7*4g	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/krasota-iznutri/bady/thalgo_spiruline_boost%20%20	https://healthytrends.com.ua/image/cache/catalog/Thalgo/vt19009-458x458.jpg	VT19009	Нутрицевтика
507 UAH	Тальго Травяной Настой "Дренаж"  20 Саше	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/travyanoy_nastoy_drenazh_infusion_tea_drainage	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt180133d-infus-drainage-458x458.jpg	VT18013	Thalgo
507 UAH	Тальго Травяной Настой "Легкость Ног"  20 Саше	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/travyanoy_nastoy_legkost_nog_infusion_tea_light_legs	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt180163d-infus-jambelegere-458x458.jpg	VT18016	Thalgo
507 UAH	Тальго Травяной Настой "Похудение"  20 Саше	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/travyanoy_nastoy_pohudenie_infusion_tee_minceur	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt180143d-infus-silhouette-458x458.jpg	VT18014	Thalgo
507 UAH	Тальго Травяной Настой "Расслабление"  20 Саше	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/travyanoy_nastoy_rasslablenie_infusion_tea_serenite	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt180153d-infus-serenite-458x458.jpg	VT18015	Thalgo
599 UAH	Тейп  Phiten Power Tape X30 Kinetic Model  15 Шт	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_phiten/tape_phiten_power_tape_x30_kinetic_model_15_sht	https://healthytrends.com.ua/image/cache/catalog/Tape/kinetik-458x458.jpg	PT807000_1	Phiten
385 UAH	Патчи Phiten X100	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_phiten/phiten_%20patches_x_100	https://healthytrends.com.ua/image/cache/catalog/Phiten/patchi-458x458.jpg	PU752029_1	Phiten
599 UAH	Тейп  Phiten Stretched 5 0см*4 5м	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_phiten/tape_phiten_stretched_50sm45m	https://healthytrends.com.ua/image/cache/catalog/Tape/h10vblistere-458x458.png	PU710129	Phiten
4999 UAH	Тейп  Phiten Stretched 5 0см*4 5м  10 Штук	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_phiten/tape_phiten_stretched_5%2C0%d1%81%d0%bc%2A4%2C5%d0%bc_10	https://healthytrends.com.ua/image/cache/catalog/Tape/h10_2-458x458.png	PU720029	Phiten
449 UAH	Тейп  Phiten Titanium Aid 20 Шт.	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_phiten/tape_phiten_titanium_aid_20_sht	https://healthytrends.com.ua/image/cache/catalog/Tape/aid-458x458.jpg	PT734000	Phiten
75 UAH	Тейп Phiten Metax   5 Шт.	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_phiten/tape_phiten_metax_5_sht	https://healthytrends.com.ua/image/cache/catalog/Tape/4-458x458.jpg	PT733000_1	Phiten
3299 UAH	Tape Phiten Metax 300 Шт.	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_phiten/tape_phiten_metax_300_sht	https://healthytrends.com.ua/image/cache/catalog/Tape/t.metax-458x458.jpg	PT733000	Phiten
50 UAH	Тейп Phiten Power Tape Disc 10 Шт	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_phiten/tape_phiten_power_tape_disc_10_sht	https://healthytrends.com.ua/image/cache/catalog/Tape/t.h10_2-458x458.jpg	PT620000_1	Phiten
2999 UAH	Тейп Phiten Power Tape Disc 1000 Шт	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_phiten/tape_phiten_power_tape_disc_1000_sht	https://healthytrends.com.ua/image/cache/catalog/Tape/t.h10-458x458.png	PT620000	Phiten
3999 UAH	Тейп Phiten Stretched 3 8смх4 5м 10 Штук	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_phiten/tape_phiten_stretched_3%2C8%d1%81%d0%bc%d1%854%2C5_10	https://healthytrends.com.ua/image/cache/catalog/Tape/h10uz_2-458x458.png	PU720028	Phiten
2499 UAH	Tape Phiten Stretched X100   5.0см*4.5м	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_phiten/teyp_phiten_titan_tape_x100	https://healthytrends.com.ua/image/cache/catalog/Tape/8bcca2abf1ff97b9974e687367482c0d-458x458.jpg	PU752029	Phiten
1199 UAH	Тейп Phiten Stretched X30 Sport  5см х 4 5м	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_phiten/tape_phiten_stretched_x30_sport_pink	https://healthytrends.com.ua/image/cache/catalog/Tape/pu754029-458x458.jpg	PU754029	Phiten
1199 UAH	Тейп Phiten Stretched X30 Sport 5см х 4 5м	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_phiten/tape_phiten_stretched_x30_sport	https://healthytrends.com.ua/image/cache/catalog/Tape/pu754129-458x458.jpg	PU754129	Phiten
1878 UAH	Thalgo Интенсивный Питательный Крем Для Тела 24H Thalgo Deeply Nourishing Body Cream   200 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/intensivnyiy_pitatelnyiy_krem_dlya_tela_24h_deeply_nourishing_body_cream	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/5-458x458.jpg	VT18012	Thalgo
1833 UAH	Thalgo  Укрепляющая Сыворотка Для Бюста и Зоны Декольте Thalgo Bust And Decollete  50ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/ukreplyayuschaya_syivorotka_dlya_byusta_i_zonyi_dekolte_bust_and_decollete	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/buste_et_decollete_-_bust_and_decollete-458x458.jpg	VT15023	Thalgo
1920 UAH	Thalgo Абсолютный Корректор Целлюлита Thalgo Complete Cellulite Corrector  200 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/absolyutnyiy_korrektor_tsellyulita_complete_cellulite_corrector	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt17021-900x900-product_thumb-458x458.jpg	VT17021	Thalgo
1067 UAH	Thalgo Арктический Мусс Для Душа Thalgo Arctic Sower Foam  150ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/arkticheskiy_muss_dlya_dusha_arctic_sower_foam	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt17007neigededouche-foamer150ml-458x458.jpg	VT17007	Thalgo
1664 UAH	Thalgo Аромапелена Для Тела Thalgo Fragranced Body Mist Joyaux Atlantique  100ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/uvlazhnyayuschaya_aromapelena_dlya_tela_fragranced_body_mist_joyaux_atlantique	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt18010brumedesoinparfumee-flacon100ml-458x458.jpg	VT18010	Thalgo
1664 UAH	Thalgo Аромапелена Для Тела Остров  Thalgo Island Fragranced Mist 100ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/telo/spa_uhod/island_fragranced_mist	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vtbrumeparfumeeensoleillante-flacon100ml-458x458.jpg	VT18029	Beauty
1157 UAH	Thalgo Восстанавливающая Крем Маска Для Лица Thalgo After-Sun Crememaske  75ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/podarochnye_nabory/dlya_zhenshchin/%20thalgo_after_sun_crememaske_face	https://healthytrends.com.ua/image/cache/catalog/Thalgo/gt19024-458x458.jpg	GT19024	Beauty
1535 UAH	Thalgo Восстанавливающий Морской Скраб  Thalgo Revitalising Marine Scrub 200ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/vosstanavlivayuschiy_morskoy_skrab_bez_lipidov_revitalising_marine_scrub	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt16015gommagemarinrevitalisant-tube200ml-458x458.jpg	VT16015	Thalgo
1535 UAH	Thalgo Гель Для Лёгкости Ног Thalgo Gel For Feather-Light Legs  150ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/gel_dlya_lyogkosti_nog_gel_for_featherlight_legs	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt15021gel-jambes-legeres-458x458.png	VT15021	Thalgo
800 UAH	Thalgo Гель-скраб Для Душа Thalgo Exfoliating Shower Gel 200ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/exfoliating_shower_gel	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/gt18049-458x458.jpg	GT18049	Thalgo
746 UAH	Thalgo Интенсивный Питательный Крем Для Рук Thalgo Deeply Nourishing Hand Cream   50ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/intensivnyiy_pitatelnyiy_krem_dlya_ruk_deeply_nourishing_hand_cream	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt15004crememains-handcream50ml-458x458.jpg	VT15004	Thalgo
833 UAH	Thalgo Интенсивный Питательный Крем Для Стоп Thalgo Deeply Nourishing Foot Cream   150ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/intensivnyiy_pitatelnyiy_krem_dlya_stop_deeply_nourishing_foot_cream	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt15003cremepieds-footcream75ml-458x458.jpg	VT15003	Thalgo
2093 UAH	Thalgo Крем Для Тела Упругость и Лифтинг  Thalgo High Performance Firming Cream  200ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/krem_defi_fermete_lifting_high_performance_firming_cream	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt15028creme-performance-fermete-458x458.png	VT15028	Beauty
1833 UAH	Thalgo Крем-Корректор Для Живота и Талии  Thalgo Corrector For Stomach And Waist  150ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/korrektor_dlya_zhivota_i_talii_defi_fermete_cerrector_for_stomach_and_waist	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt15022sculpteur-ventre-et-taille-458x458.png	VT15022	Thalgo
1267 UAH	Thalgo Лосьон Активатор Загара  Thalgo Tanning Activator Lotion  150ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/loson_aktivator_zagara_tanning_activator_lotion	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt15029laitactivateurbronzage-tube150mld50x135-458x458.png	VT15029	Thalgo
1267 UAH	Thalgo Nourishing Body Mist  100ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/telo/thalgo_nourishing_body_mist_thalgo	https://healthytrends.com.ua/image/cache/catalog/Thalgo/gt19040-458x458.jpg	GT19040	Beauty
633 UAH	Thalgo Mon Huile Douche  150ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/telo/%20thalgo_mon_huile_douche	https://healthytrends.com.ua/image/cache/catalog/Thalgo/gt19026-458x458.jpg	GT19026	Beauty
1238 UAH	Thalgo Скраб Розовый Песок Thalgo Pink Sand Scrub  200ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/skrab_rozovyiy_pesok_pink_sand_scrub	https://healthytrends.com.ua/image/cache/catalog/Thalgo/rozovyjpesok-458x458.jpg	VT18008	Beauty
