price	title	description	link	image_link	id	availability	product_type
493.00 UAH	Набор Бит Metabo 6шт. + Отвертка	Набор бит metabo 6шт. + отвертка	https://technocenter.in.ua/uk/vutratni-materialy/biti?product_id=19194	https://technocenter.in.ua/image/cache/catalog/8_4000-400x400.jpg	3475396450	in stock	Біти Для Шуруповерта
183.00 UAH	Набір Біт Metabo Promotion 9 Шт	Набір біт metabo promotion 9 шт	https://technocenter.in.ua/uk/vutratni-materialy/biti?product_id=19193	https://technocenter.in.ua/image/cache/catalog/3041900s_51-400x400.jpg	980627813	in stock	Біти Для Шуруповерта
746.00 UAH	Набір Біт Metabo 43 Шт	Набір біт metabo 43 шт	https://technocenter.in.ua/uk/vutratni-materialy/biti?product_id=19192	https://technocenter.in.ua/image/cache/catalog/626719000-400x400.jpg	1089323357	in stock	Біти Для Шуруповерта
458.00 UAH	Набір Біт Metabo 29 Шт	Набір біт metabo 29 шт	https://technocenter.in.ua/uk/vutratni-materialy/biti?product_id=19191	https://technocenter.in.ua/image/cache/catalog/626710000-700x700-400x400.jpg	2374028694	in stock	Біти Для Шуруповерта
280.00 UAH	Набір Біт Metabo 15 Шт	Набір біт metabo 15 шт	https://technocenter.in.ua/uk/vutratni-materialy/biti?product_id=19190	https://technocenter.in.ua/image/cache/catalog/kupit-nabor-bit-metabo-sp-15-predmeta-626703000-firmennyy-magazin-oficialnogo-instrumenta-metabo-ukraina-400x400.jpg	126429743	in stock	Біти Для Шуруповерта
493.00 UAH	Набор Бит Metabo 6шт. + Отвертка	Набор бит metabo 6шт. + отвертка	https://technocenter.in.ua/uk/ruchnyy-instryment/vukrutki?product_id=19194	https://technocenter.in.ua/image/cache/catalog/8_4000-400x400.jpg	2840403810	in stock	Викрутки
498.00 UAH	Мультитул Metabo	Мультитул metabo	https://technocenter.in.ua/uk/index.php?route=product/product&path=173_289&product_id=19189	https://technocenter.in.ua/image/cache/catalog/6761_0-400x400.jpg	2808480047	in stock	Мультиінструмент
1995.00 UAH	Болгарка (Кутова Шліфмашина) Vitals MasterLs12110BRvc power+	Болгарка (кутова шліфмашина) vitals MasterLs12110BRvc power+	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie?product_id=19182	https://technocenter.in.ua/image/cache/catalog/1820-P/ls-12110brvc-power-1-1000x765-1-400x400.jpg	2386361296	in stock	Електроінструмент
2917.00 UAH	Болгарка (Кутова Шліфмашина) Vitals Master Ls1818HLs (152885)	Болгарка (кутова шліфмашина) vitals master Ls1818HLs (152885)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarka-uglovaya-shlifmashina-vitals-master-ls1818hls-152885	https://technocenter.in.ua/image/cache/catalog/Vitals/ls-1272-hl_1-1000x765-400x400.jpg	2192494106	in stock	Електроінструмент
1306.00 UAH	Болгарка (Кутова Шліфмашина) Vitals Master Ls 1272HL (43106)	Болгарка (кутова шліфмашина) vitals master ls 1272HL (43106)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarka-akumulyatorna-kutova-shlifmashina-vitals-master-ls-1272hl-43106	https://technocenter.in.ua/image/cache/catalog/Vitals/ls-1272-hl_1-1000x765-400x400.jpg	141468114	in stock	Електроінструмент
