price	title	description	link	image_link	id	availability	product_type
697 UAH	Thalgo Lip Balm  10g	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/thalgo_lip_balm	https://healthytrends.com.ua/image/cache/catalog/Thalgo/fullsizeoutput_38f0-458x458.jpeg	GT19089	in stock	Thalgo
697 UAH	Thalgo Lip Balm  10g	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/thalgo_lip_balm_rose	https://healthytrends.com.ua/image/cache/catalog/Thalgo/fullsizeoutput_38f2-458x458.jpeg	GT19090	in stock	Thalgo
2732 UAH	Thalgo  ГЕЛЬ-КРЕМ Корректирующий Морщины Thalgo Wrinkle Correcting Gel-cream  50 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/lico/thalgo_wrinkle_correkting_gel_cream__procollagene	https://healthytrends.com.ua/image/cache/catalog/Thalgo/vtgelcremecorrectionrides-pot50mlouvert-458x458.png	VT19012	in stock	Beauty
1808 UAH	Thalgo  Крем Питательный Успокаивающий Thalgo  Nutri-Soothing Cream  50ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/holodnyiy_uspokaivayuschiy_pitatelnyiy_krem_nutrisoothing_cream	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt15006cremenutri-apaisante-nutrisoothingcream-458x458.jpg	VT15006	in stock	Thalgo
1245 UAH	Thalgo Energising Booster Concentrate Spiruline Boost  7 Ампул	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/lico/thalgo_energising_booster_concentrate_spiruline_boost	https://healthytrends.com.ua/image/cache/catalog/Thalgo/vt19005-458x458.jpg	VT19005	in stock	Beauty
1350 UAH	Thalgo Живительная Морская Пелена  Thalgo Reviving Marine Mist   150 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/zhivitelnaya_morskaya_pelena_reviving_marine_mist	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt15053embrunsvivifiants150ml-458x458.jpg	VT15053	in stock	Thalgo
1185 UAH	Thalgo Идеальная Матирующая Эмульсия Thalgo Perfect Matte Fluid   40ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/idealnaya_matiruyuschaya_emulsiya_perfect_matte_fluid	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt14031purete-marine---soin-prefection-458x458.png	VT14031	in stock	Thalgo
3132 UAH	Thalgo Интенсивная Сыворотка Корректирующая Морщины Thalgo Wrinkle Correkting Serum  30 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/lico/thalgo_wrinkle_correkting_serum_hualu_procollagene	https://healthytrends.com.ua/image/cache/catalog/Thalgo/vtserumintensifcorrectionrides-flacon30mlouvert-458x458.png	VT19015	in stock	Beauty
4656 UAH	Thalgo Интенсивная Сыворотка, Восстанавливающая Плотность Кожи  Thalgo Intencive Redensifying Serum  30ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/intensivnaya_syivorotka_vosstanavlivayuschaya_plotnost_kozhi_intencive_redensifying_serum	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt18003serumredensifiantintensif-flacon30ml-458x458.jpg	VT18003	in stock	Thalgo
3936 UAH	Thalgo Интенсивный Крем, Восстанавливающий Плотность Кожи Thalgo Redensifying Rich Cream   50ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/intensivnyiy_krem_vosstanavlivayuschiy_plotnost_kozhi_redensifying_rich_cream	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt18002cremericheredensifiante-pot50ml-458x458.jpg	VT18002	in stock	Thalgo
