price	title	description	link	image_link	id	availability	product_type
95 UAH	Наконечники Гілсон Жовті (200 Мкл.) № 1000	Наконечники призначені для забору проб та дозування рідин у лабораторних умовах. Жовті наконечники тип gilson забезпечать точне дозування в діапазоні 1-200 мкл і стануть оптимальним вибором для широкого кола досліджень.    Наконечники дозволяють комфортно працювати з різними типами мікропробірок, стрипів та планшетів, проводити забір проб та розлив рідин без зіткнення зі стінками та горловиною ємності.    Наконечники сумісні з одноканальними та багатоканальними дозаторами gilson. Поставляються нестерильними у загальному пакуванні (мішок). Не мають градуювання. Наконечники виготовлені з високоякісного поліпропілену. Довжина наконечників становить 50 мм, діаметр основи – 7 мм. Колір наконечників – жовтий.	https://obriymedtehnika.com.ua/product/nakonecniki_gilson_zovti_200_mkl_1000	https://obriymedtehnika.com.ua/storage/products_images/medium/c0f7023898c4567a877f1aa6de41eaab.png	4185970186	in stock	Лабораторне Обладнання > Наконечники Для Дозаторів
90 UAH	Наконечники Гілсон Сині (1000 Мкл.) № 500	Наконечники призначені для забору проб та дозування рідин у лабораторних умовах. Блакитні наконечники тип gilson забезпечать точне дозування в діапазоні 100-1000 і стануть оптимальним вибором для широкого кола досліджень.    Наконечники дозволяють комфортно працювати з різними типами мікропробірок, стрипів та планшетів, проводити забір проб та розлив рідин без зіткнення зі стінками та горловиною ємності.    Наконечники сумісні з одноканальними дозаторами gilson – eppendorf – biohit – socorex – htl – nichiryo – finnpipette – rainin – volac – accumax. Поставляються нестерильними у загальному пакуванні (мішок). Не мають градуювання. Наконечники виготовлені з високоякісного поліпропілену. Довжина наконечників становить 71 мм, діаметр основи – 9 мм. Колір наконечників – блакитний.	https://obriymedtehnika.com.ua/product/nakonecniki_gilson_sini_1000_mkl_500	https://obriymedtehnika.com.ua/storage/products_images/medium/3216861db32e2e9780d45c973c072325.png	2949267950	in stock	Лабораторне Обладнання > Наконечники Для Дозаторів
115 UAH	Пробірка Центрифужна (Eppendorf) 1,5 Мл. № 500	Мікропробірки тип eppendorf виготовлені з первинного поліпропілену, мають напівпрозорий вигляд, призначені для зберігання, транспортування, а також центрифугування різних середовищ і біологічних матеріалів. Діапазон робочих температур від -15°С до +120°С, автоклавуються, мають високу хімічну стійкість до кислот, лугів, альдегідів, аліфатичних спиртів.	https://obriymedtehnika.com.ua/product/probirka_centrifuzna_eppendorf_15_ml_500	https://obriymedtehnika.com.ua/storage/products_images/medium/1678c7aa71cae7c0bff182d5a601be60.png	2257512665	in stock	Лабораторне Обладнання > Пробірки Центрифужні
195 UAH	Пробірка Центрифужна (Eppendorf) 2,0 Мл. № 500	Мікропробірки тип eppendorf виготовлені з первинного поліпропілену, мають напівпрозорий вигляд, призначені для зберігання, транспортування, а також центрифугування різних середовищ і біологічних матеріалів. Діапазон робочих температур від -15°С до +120°С, автоклавуються, мають високу хімічну стійкість до кислот, лугів, альдегідів, аліфатичних спиртів.	https://obriymedtehnika.com.ua/product/probirka_centrifuzna_eppendorf_20_ml_500	https://obriymedtehnika.com.ua/storage/products_images/medium/28d6354961ee3c2ef15d51ca2e0e9067.png	4140094522	in stock	Лабораторне Обладнання > Пробірки Центрифужні
320 UAH	Пробірка 4 Мл, Вакуумна Для Забору Крові з Активатором Згортання 13*75 Мм, "Omtech" Стерильна з Червоною Кришкою - 100 Шт.	Пробірка червона для забору крові з сlot activator (активатор згортання крові) призначена для прискорення процесу згортання крові і полегшує відділення сироватки. Отримана сироватка застосовується для широкого спектру лабораторних біохімічних, іфа і імунологічних досліджень. Для визначення білкового складу, ферментів, гормонів, онкомаркерів тощо.    На етикетці кожної пробірки наявні вид наповнювача, об’єм зразка, номер партії, дата придатності, відмітка стерильності, знак відповідності стандартам єс, знак відповідності технічним регламентам.    Має на собі поле для запису в яке можна вписати: ім'я, тип, дату.  Відривний стікер з унікальним номером для ідентифікації пацієнта, який лікар вклеює у картку клієнта.	https://obriymedtehnika.com.ua/product/probirka_4_ml_vakuumna_dlya_zaboru_krovi_z_aktivatorom_zgortannya_1375_mm_sterilna_z_cervonoyu_kriskoyu	https://obriymedtehnika.com.ua/storage/products_images/medium/f6b40015d6ae150f658680d16b16384d.png	2125683679	in stock	Лабораторне Обладнання > Вакуумні Пробірки Для Забору Крові
320 UAH	Пробірка 6 Мл, Вакуумна Для Забору Крові з Активатором Згортання 13*100мм, Стерильна з Червоною Кришкою - 100 Шт.	Пробірка червона для забору крові з сlot activator (активатор згортання крові) призначена для прискорення процесу згортання крові і полегшує відділення сироватки. Отримана сироватка застосовується для широкого спектру лабораторних біохімічних, іфа і імунологічних досліджень. Для визначення білкового складу, ферментів, гормонів, онкомаркерів тощо.    На етикетці кожної пробірки наявні вид наповнювача, об’єм зразка, номер партії, дата придатності, відмітка стерильності, знак відповідності стандартам єс, знак відповідності технічним регламентам.    Має на собі поле для запису в яке можна вписати: ім'я, тип, дату.  Відривний стікер з унікальним номером для ідентифікації пацієнта, який лікар вклеює у картку клієнта.	https://obriymedtehnika.com.ua/product/probirka_6_ml_vakuumna_dlya_zaboru_krovi_z_aktivatorom_zgortannya_13100mm_sterilna_z_cervonoyu_kriskoyu	https://obriymedtehnika.com.ua/storage/products_images/medium/42428c8f742ad26d9d347d5f6f845deb.png	3154429519	in stock	Лабораторне Обладнання > Вакуумні Пробірки Для Забору Крові
460 UAH	Пробірка 9 Мл Вакуумна Для Забору Крові з Активатором Згортання 16x100 Мм "Omtech" Стерильна з Червоною Кришкою - 100 Шт	Пробірка червона для забору крові з сlot activator (активатор згортання крові) призначена для прискорення процесу згортання крові і полегшує відділення сироватки. Отримана сироватка застосовується для широкого спектру лабораторних біохімічних, іфа і імунологічних досліджень. Для визначення білкового складу, ферментів, гормонів, онкомаркерів тощо.    На етикетці кожної пробірки наявні вид наповнювача, об’єм зразка, номер партії, дата придатності, відмітка стерильності, знак відповідності стандартам єс, знак відповідності технічним регламентам.    Має на собі поле для запису в яке можна вписати: ім'я, тип, дату.  Відривний стікер з унікальним номером для ідентифікації пацієнта, який лікар вклеює у картку клієнта.	https://obriymedtehnika.com.ua/product/probirka_vakuumna_dlya_zaboru_krovi_z_aktivatorom_zgortannya_9_ml_16x100_mm_sterilna_z_cervonoyu_kriskoyu_100_st	https://obriymedtehnika.com.ua/storage/products_images/medium/fd67577f3c820988854791ccb3f49eb7.png	4127769065	in stock	Лабораторне Обладнання > Вакуумні Пробірки Для Забору Крові
300 UAH	Пробірка 4 Мл Вакуумна Для Забору Крові Без Наповнювача 13x75 Мм "Omtech" Стерильна з Червоною Кришкою - 100 Шт	Пробірки без наповнювача призначені для забору зразків біологічних рідин (кров, сеча, спинномозкова рідина, ексудат тощо), застосовують для дослідження біологічних рідин у клінічній хімії, серології, імунології. З метою перемішування вмісту пробірки і отримання оптимального виходу сироватки слід не менше п'яти разів покачати її безпосередньо після взяття зразка і далі, для утворення гарного згустку, витримати при кімнатній температурі протягом 30 хв. Час згортання – 60 хв. Умови центрифугування: 1300-1500 g протягом 10 хвилин.    На етикетці кожної пробірки наявні вид наповнювача, об’єм зразка, номер партії, дата придатності, відмітка стерильності, знак відповідності стандартам єс, знак відповідності технічним регламентам.    Має на собі поле для запису в яке можна вписати: ім'я, тип, дату.  Відривний стікер з унікальним номером для ідентифікації пацієнта, який лікар вклеює у картку клієнта.	https://obriymedtehnika.com.ua/product/probirka_vakuumna_dlya_zaboru_krovi_bez_napovnyuvaca_4_ml_13x75_mm_sterilna_z_cervonoyu_kriskoyu_100_st	https://obriymedtehnika.com.ua/storage/products_images/medium/84b8077ae1a8452e53c4220cfd1c0e78.png	1349995698	in stock	Лабораторне Обладнання > Вакуумні Пробірки Для Забору Крові
330 UAH	Пробірка 6 Мл Вакуумна Для Забору Крові Без Наповнювача 13x100 Мм "Omtech" Стерильна з Червоною Кришкою - 100 Шт	Пробірки без наповнювача призначені для забору зразків біологічних рідин (кров, сеча, спинномозкова рідина, ексудат тощо), застосовують для дослідження біологічних рідин у клінічній хімії, серології, імунології. З метою перемішування вмісту пробірки і отримання оптимального виходу сироватки слід не менше п'яти разів покачати її безпосередньо після взяття зразка і далі, для утворення гарного згустку, витримати при кімнатній температурі протягом 30 хв. Час згортання – 60 хв. Умови центрифугування: 1300-1500 g протягом 10 хвилин.    На етикетці кожної пробірки наявні вид наповнювача, об’єм зразка, номер партії, дата придатності, відмітка стерильності, знак відповідності стандартам єс, знак відповідності технічним регламентам.    Має на собі поле для запису в яке можна вписати: ім'я, тип, дату.  Відривний стікер з унікальним номером для ідентифікації пацієнта, який лікар вклеює у картку клієнта.	https://obriymedtehnika.com.ua/product/probirka_vakuumna_dlya_zaboru_krovi_bez_napovnyuvaca_6_ml_13x100_mm_sterilna_z_cervonoyu_kriskoyu_100_st	https://obriymedtehnika.com.ua/storage/products_images/medium/885cd68fe8727cf841f4bb39d5d2f5a7.png	2735871300	in stock	Лабораторне Обладнання > Вакуумні Пробірки Для Забору Крові
400 UAH	Пробірка 9 Мл Вакуумна Для Забору Крові Без Наповнювача 16x100 Мм "Omtech" Стерильна з Червоною Кришкою - 100 Шт	Пробірки без наповнювача призначені для забору зразків біологічних рідин (кров, сеча, спинномозкова рідина, ексудат тощо), застосовують для дослідження біологічних рідин у клінічній хімії, серології, імунології. З метою перемішування вмісту пробірки і отримання оптимального виходу сироватки слід не менше п'яти разів покачати її безпосередньо після взяття зразка і далі, для утворення гарного згустку, витримати при кімнатній температурі протягом 30 хв. Час згортання – 60 хв. Умови центрифугування: 1300-1500 g протягом 10 хвилин.    На етикетці кожної пробірки наявні вид наповнювача, об’єм зразка, номер партії, дата придатності, відмітка стерильності, знак відповідності стандартам єс, знак відповідності технічним регламентам.    Має на собі поле для запису в яке можна вписати: ім'я, тип, дату.  Відривний стікер з унікальним номером для ідентифікації пацієнта, який лікар вклеює у картку клієнта.	https://obriymedtehnika.com.ua/product/probirka_vakuumna_dlya_zaboru_krovi_bez_napovnyuvaca_9_ml_16x100_mm_sterilna_z_cervonoyu_kriskoyu_100_st	https://obriymedtehnika.com.ua/storage/products_images/medium/421ba7a25f389cf2343e9357ca55b8e6.png	954911750	in stock	Лабораторне Обладнання > Вакуумні Пробірки Для Забору Крові
