Item title	Item description	Final URL	Image URL	ID	Item Category
Sonoscape E2V	Купить аппарат УЗИ SonoScape E2V в Украине	https://sonoscape.in.ua/product/uzi-apparat-sonoscape-e2/	https://sonoscape.in.ua/wp-content/uploads/2020/05/SonoScape-E2b-e1592463986208-1.jpg	2681284197	Портативные ультразвуковые системы
Sonoscape P9	Купить аппарат УЗИ SonoScape P9 в Украине	https://sonoscape.in.ua/product/ultrazvukovoj-skaner-sonoscape-p9/	https://sonoscape.in.ua/wp-content/uploads/2020/05/1-1.png	1085635494	Стационарные ультразвуковые системы
Sonoscape X3	Купить аппарат УЗИ SonoScape X3 в Украине	https://sonoscape.in.ua/product/uzi-apparat-sonoscape-x3/	https://sonoscape.in.ua/wp-content/uploads/2020/05/SonoScape_X5-1b-e1592463889451.png	3647265785	Портативные ультразвуковые системы
Sonoscape P15	Купить аппарат УЗИ SonoScape P15 в Украине	https://sonoscape.in.ua/product/sonoscape-p15/	https://sonoscape.in.ua/wp-content/uploads/2020/07/erwgddf-e1603919300307.jpg	2778027496	Стационарные ультразвуковые системы
Sonoscape Е2	Купить аппарат УЗИ SonoScape E2 в Украине	https://sonoscape.in.ua/product/sonoscape-e2/	https://sonoscape.in.ua/wp-content/uploads/2020/05/SonoScape-E1b-e1589810845757.jpg	2039962460	Портативные ультразвуковые системы
Sonoscape P50  Elite	Гарантия стабильного качества работы	https://sonoscape.in.ua/product/sonoscape-p50-elite/	https://sonoscape.in.ua/wp-content/uploads/2021/08/P50-Elite-1.png	1784801592	Стационарные ультразвуковые системы
Sonoscape S50 Elite	Премиальное ультразвуковое решение	https://sonoscape.in.ua/product/sonoscape-s50-elite/	https://sonoscape.in.ua/wp-content/uploads/2021/08/sonoscape-s50-elite-5-1-1024x1024-1-3.jpeg	3407939976	Стационарные ультразвуковые системы
Sonoscape  S60	Интеллектуальная платформа Wis +	https://sonoscape.in.ua/product/sonoscape-s60/	https://sonoscape.in.ua/wp-content/uploads/2021/01/S60-1-1.jpg	1368312095	Стационарные ультразвуковые системы
Sonoscape P60	Ультразвуковая система экспертного класса	https://sonoscape.in.ua/product/sonoscape-p60/	https://sonoscape.in.ua/wp-content/uploads/2021/01/Screenshot-2021-01-16-at-23.13.06.png	2456670188	Стационарные ультразвуковые системы
Sonoscape P50	Купить аппарат УЗИ SonoScape P50 в Украине	https://sonoscape.in.ua/product/sonoscape-p50-intuitivnyj-tochnyj-i-gibkij-apparat-dlya-tochnoj-diagnostiki/	https://sonoscape.in.ua/wp-content/uploads/2020/05/Sonoscape-P50-e1610019064735.jpg	156955102	Стационарные ультразвуковые системы
Sonoscape P25	Купить аппарат УЗИ SonoScape P25 в Украине	https://sonoscape.in.ua/product/sonoscape-p25-intellektualnye-tehnologii-na-sluzhbe-meditsiny/	https://sonoscape.in.ua/wp-content/uploads/2020/05/01-900-900-65-e1589809146296.jpg	1654924499	Стационарные ультразвуковые системы
Sonoscape P20	Купить аппарат УЗИ SonoScape P20 в Украине	https://sonoscape.in.ua/product/sonoscape-p20-ultrasovremennaya-platforma-dlya-diagnostiki/	https://sonoscape.in.ua/wp-content/uploads/2020/05/01-900-900-65_1-1-e1589808758741.jpg	3095654479	Стационарные ультразвуковые системы
Sonoscape P10 Ехр	Купить аппарат УЗИ SonoScape P10 Ехр в Украине	https://sonoscape.in.ua/product/ultrazvukovoj-skaner-sonoscape-p10/	https://sonoscape.in.ua/wp-content/uploads/2020/05/P10_1-1-e1589897015682.png	1195946989	Стационарные ультразвуковые системы
Sonoscape S50	Купить аппарат УЗИ SonoScape S50 в Украине	https://sonoscape.in.ua/product/ultrazvukovoj-skaner-sonoscape-s50/	https://sonoscape.in.ua/wp-content/uploads/2020/05/SonoScape_S50-ff1-2-e1589898689395.jpg	1340780112	Стационарные ультразвуковые системы
Sonoscape S40	Купить аппарат УЗИ SonoScape S40 в Украине	https://sonoscape.in.ua/product/sonoscape-s40/	https://sonoscape.in.ua/wp-content/uploads/2020/05/Sonoscape_S40-b-e1589807313546.jpg	822463628	Стационарные ультразвуковые системы
Sonoscape S20 Exp	Купить аппарат УЗИ SonoScape S20 Exp в Украине	https://sonoscape.in.ua/product/ultrazvukovoj-skaner-sonoscapes20exp/	https://sonoscape.in.ua/wp-content/uploads/2020/05/SonoScape_S20Exp-1-e1589898475198.jpg	404199150	Стационарные ультразвуковые системы
Sonoscape SSI-8000	Купить аппарат УЗИ SonoScape SSI-8000 в Украине	https://sonoscape.in.ua/product/apparat-uzi-sonoscape-ssi-8000/	https://sonoscape.in.ua/wp-content/uploads/2020/05/Sonoscape_SSI-8000_1b-e1589813528717.jpg	3644546508	Стационарные ультразвуковые системы
Sonoscape S12	Купить аппарат УЗИ SonoScape S12 в Украине	https://sonoscape.in.ua/product/ultrazvukovoj-skaner-sonoscape-s12/	https://sonoscape.in.ua/wp-content/uploads/2020/05/s12_b-e1589897383385.jpg	2256748084	Стационарные ультразвуковые системы
Sonoscape A8	Купить аппарат УЗИ SonoScape A8 в Украине	https://sonoscape.in.ua/product/apparat-uzi-sonoscape-a8/	https://sonoscape.in.ua/wp-content/uploads/2020/05/Sonoscape_A8_1-e1589813253706.jpg	2973202628	Стационарные ультразвуковые системы
Sonoscape A6	Купить аппарат УЗИ SonoScape A6 в Украине	https://sonoscape.in.ua/product/apparat-uzi-sonoscape-a6/	https://sonoscape.in.ua/wp-content/uploads/2020/05/Sonoscape_A6_1b-e1589807084264.jpg	767409274	Портативные ультразвуковые системы
Sonoscape S2	Купить аппарат УЗИ SonoScape S2 в Украине	https://sonoscape.in.ua/product/portativnyj-tsvetnoj-skaner-uzi-sonoscape-s2/	https://sonoscape.in.ua/wp-content/uploads/2020/05/Sonoscape_S2_1-e1592463525105.jpg	665522186	Портативные ультразвуковые системы
Sonoscape S6	Купить аппарат УЗИ SonoScape S6 в Украине	https://sonoscape.in.ua/product/uzi-apparat-sonoscape-s6/	https://sonoscape.in.ua/wp-content/uploads/2020/05/S6_b-e1592463683878.jpg	776246552	Портативные ультразвуковые системы
Sonoscape S8	Купить аппарат УЗИ SonoScape S8 в Украине	https://sonoscape.in.ua/product/uzi-apparat-sonoscape-s8/	https://sonoscape.in.ua/wp-content/uploads/2020/05/Sonoscape_S8_1b-e1592463815364.jpg	777813242	Портативные ультразвуковые системы
Sonoscape S8 Exp	Купить аппарат УЗИ SonoScape S8 Exp в Украине	https://sonoscape.in.ua/product/portativnyj-tsvetnoj-apparat-uzi-sonoscape-s8exp/	https://sonoscape.in.ua/wp-content/uploads/2020/05/S8Exp-b-e1589814170825.jpg	2598305749	Портативные ультразвуковые системы
Sonoscape S9	Купить аппарат УЗИ SonoScape S9 в Украине	https://sonoscape.in.ua/product/sonoscape-s9-portativnyj-tsvetnoj-ultrazvukovoj-diagnosticheskij-skaner-novogo-pokoleniya/	https://sonoscape.in.ua/wp-content/uploads/2020/05/Sonoscape_S9-b-e1589811975159.jpg	255795248	Портативные ультразвуковые системы
Sonoscape Е3 Ехр	Купить аппарат УЗИ SonoScape Е3 Ехр в Украине	https://sonoscape.in.ua/product/sonoscape-e3-kachestvo-komfort-i-proizvoditelnost/	https://sonoscape.in.ua/wp-content/uploads/2020/05/sonoscape-e2-2b-600x593-2-e1589812164839.jpg	2248105747	Стационарные ультразвуковые системы
Sonoscape E1 Exp	Купить аппарат УЗИ SonoScape E2 exp в Украине	https://sonoscape.in.ua/product/sonoscape-e2-exp/	https://sonoscape.in.ua/wp-content/uploads/2020/05/SonoScape-E2b-e1592463986208-1.jpg	4162371019	Портативные ультразвуковые системы
Sonoscape Е1	Купить аппарат УЗИ SonoScape E1 в Украине	https://sonoscape.in.ua/product/portativnyj-ultrazvukovoj-skaner-sonoscape-e1/	https://sonoscape.in.ua/wp-content/uploads/2020/05/SonoScape-E1b-e1589810845757.jpg	3692311823	Портативные ультразвуковые системы
Sonoscape S2V	Купить аппарат УЗИ SonoScape S2V в Украине	https://sonoscape.in.ua/product/uzi-apparat-sonoscape-s2v/	https://sonoscape.in.ua/wp-content/uploads/2020/05/Sonoscape_S2_1-1-e1592550940149.jpg	2540744124	Ветеринарные ультразвуковые системы
Sonoscape S6V	Купить аппарат УЗИ SonoScape S6V в Украине	https://sonoscape.in.ua/product/uzi-apparat-sonoscape-s6v/	https://sonoscape.in.ua/wp-content/uploads/2020/05/sonoscape_S6_vet-b-e1592550843467.jpg	3818947546	Ветеринарные ультразвуковые системы
Sonoscape E1V	Купить аппарат УЗИ SonoScape E1V в Украине	https://sonoscape.in.ua/product/apparat-uzi-sonoscape-e1/	https://sonoscape.in.ua/wp-content/uploads/2020/05/SonoScape-E1b-e1589810845757.jpg	785838945	Ветеринарные ультразвуковые системы
Sonoscape Х3V	Идеальное клиническое решение в сфере ветеринарной медицины	https://sonoscape.in.ua/product/sonoscape-h3v/	https://sonoscape.in.ua/wp-content/uploads/2021/04/1-1.png	2593169776	Ветеринарные ультразвуковые системы
Датчики Для Цветных Аппартов Узи	Датчики для цветных аппартов УЗИ	https://sonoscape.in.ua/product/datchiki-dlya-tsvetnyh-appartov-uzi/	https://sonoscape.in.ua/wp-content/uploads/2020/06/datchiki1-b-e1592553347449.jpg	1412671842	Датчики
