Price	Item title	Item description	Final URL	Image URL	ID	Item Category
1920.00 UAH	Болгарка (Кутова Шліфмашина) Vitals MasterLs12110BRvc power+	Болгарка (кутова шліфмашина) vitals MasterLs12110BRvc power+	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky?product_id=19182	https://technocenter.in.ua/image/cache/catalog/1820-P/ls-12110brvc-power-1-1000x765-1-400x400.jpg	33017849	Болгарки
2778.00 UAH	Болгарка (Кутова Шліфмашина) Vitals Master Ls1818HLs (152885)	Болгарка (кутова шліфмашина) vitals master Ls1818HLs (152885)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/bolgarka-uglovaya-shlifmashina-vitals-master-ls1818hls-152885	https://technocenter.in.ua/image/cache/catalog/Vitals/ls-1272-hl_1-1000x765-400x400.jpg	484181662	Болгарки
2714.00 UAH	Болгарка (Кутова Шліфмашина) Vitals Master Ls1813HLv (144874)	Болгарка (кутова шліфмашина) vitals master Ls1813HLv (144874)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/ushm-vitals-master-ls1813hlv	https://technocenter.in.ua/image/cache/catalog/1820-P/ls-1813hlv-1-1000x765-400x400.jpg	1648222017	Болгарки
1326.00 UAH	Болгарка (Кутова Шліфмашина) Vitals Master Ls 1272HL (43106)	Болгарка (кутова шліфмашина) vitals master ls 1272HL (43106)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/bolgarka-akumulyatorna-kutova-shlifmashina-vitals-master-ls-1272hl-43106	https://technocenter.in.ua/image/cache/catalog/Vitals/ls-1272-hl_1-1000x765-400x400.jpg	806380089	Болгарки
3840.00 UAH	Болгарка (Кутова Шліфмашина)  Vitals Master Ls 2324BRc Power+ (80535)	Болгарка (кутова шліфмашина)  vitals master ls 2324BRc Power+ (80535)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/kshm-vitals-master-ls-2324brc-power	https://technocenter.in.ua/image/cache/catalog/1820-P/ls-2324brc-power+_1-1000x765-400x400.jpg	1917468615	Болгарки
1531.00 UAH	Болгарка (Кутова Шліфмашина)  Vitals Master Ls 1286HLv (43105)	Болгарка (кутова шліфмашина)  vitals master ls 1286HLv (43105)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/kshm-vitals-master-ls-1286hlv	https://technocenter.in.ua/image/cache/catalog/1820-P/ls-1286-hlv_1-1000x765-400x400.jpg	716638448	Болгарки
1716.00 UAH	Болгарка (Кутова Шліфмашина)  Vitals Master Ls 1275BRc (90329)	Болгарка (кутова шліфмашина)  vitals master ls 1275BRc (90329)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/ushm-vitals-master-ls-1275brc	https://technocenter.in.ua/image/cache/catalog/1820-P/ls-1275-brc_1-1000x765-400x400.jpg	590444364	Болгарки
6071.00 UAH	Болгарка (Акумуляторна Кутова Шліфмашина) Metabo w 18 l 9-125 (602247850)	Болгарка (акумуляторна кутова шліфмашина) metabo w 18 l 9-125 (602247850)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/bolgarka-akkumulyatornaya-uglovaya-shlifmashina-metabo-w-18-l-9-125-602247850	https://technocenter.in.ua/image/cache/catalog/Metabo/0224900_l52s_53-400x400.jpg	839764274	Болгарки
4990.00 UAH	Болгарка (Акумуляторна Кутова Шліфмашина)  Vitals Master Als 18125 Kit SmartLine+ (184443)	Болгарка (акумуляторна кутова шліфмашина)  vitals master als 18125 kit SmartLine+ (184443)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/bolgarka-akkumulyatornaya-uglovaya-shlifmashina-vitals-master-als-18125-kit-smartline-184443	https://technocenter.in.ua/image/cache/catalog/Vitals/ushm-akkumulyatornaya-vitals-master-als-18125-kit-smartline-10-510x390-400x400.jpg	1507963632	Болгарки
10295.00 UAH	Полірувальна Шліфмашина Makita SA7000C	Полірувальна шліфмашина makita SA7000C	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/poliruvalna-shlifmashina-makita-sa7000c	https://technocenter.in.ua/image/cache/catalog/makita/Makita%20SA7000C-500x500-400x400.jpg	3743049511	Болгарки
6374.00 UAH	Кутова Шліфувальна Машина Makita GA7010C	Кутова шліфувальна машина makita GA7010C	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/kutova-shlifuvalna-mashina-makita-ga7010c	https://technocenter.in.ua/image/cache/catalog/makita/ga7010c-500x500-400x400.jpg	4147601143	Болгарки
4257.00 UAH	Болгарка (Кутова Шліфмашина) Metabo Wev 850-125 (603611000)	Болгарка (кутова шліфмашина) metabo wev 850-125 (603611000)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/kutova-shlifmashina-metabo-wev-850-125	https://technocenter.in.ua/image/cache/catalog/makita-1317C/wev-850-125-0361100s_51-400x400.jpg	1238263234	Болгарки
2638.00 UAH	Болгарка (Кутова Шліфмашина) Metabo w 750-125 (603605000)	Болгарка (кутова шліфмашина) metabo w 750-125 (603605000)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky?product_id=18879	https://technocenter.in.ua/image/cache/catalog/Metabo/Metabo_W750_125_750-500x500-400x400.jpg	2857226487	Болгарки
8840.00 UAH	Болгарка (Кутова Шліфмашина) Metabo w 26-230 Mvt (606474000)	Болгарка (кутова шліфмашина) metabo w 26-230 mvt (606474000)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky?product_id=18877	https://technocenter.in.ua/image/cache/catalog/Metabo/Metabo_W-26-230-MVT-500x500%20(1)-400x400.jpg	2579587301	Болгарки
6012.00 UAH	Болгарка (Кутова Шліфмашина) Metabo w 2200-230 (606437000)	Болгарка (кутова шліфмашина) metabo w 2200-230 (606437000)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky?product_id=18875	https://technocenter.in.ua/image/cache/catalog/Metabo/METABO%20W%202200-230-500x500-400x400.jpg	1597377325	Болгарки
4269.00 UAH	Болгарка (Кутова Шліфмашина) Makita M9003	Болгарка (кутова шліфмашина) makita M9003	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/kutova-shlifmashina-makita-m9003	https://technocenter.in.ua/image/cache/catalog/makita/m9003_makita%20(1)-500x500-400x400.jpg	2100055482	Болгарки
6686.00 UAH	Болгарка (Кутова Шліфмашина) Makita GA9050	Болгарка (кутова шліфмашина) makita GA9050	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/kutova-shlifmashina-makita-ga9050	https://technocenter.in.ua/image/cache/catalog/makita/Makita%20Kutova%20shlifmashyna%20GA7020-500x500-400x400.jpg	3245554911	Болгарки
7543.00 UAH	Болгарка (Кутова Шліфмашина) Makita GA9020	Болгарка (кутова шліфмашина) makita GA9020	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/kutova-shlifmashina-makita-ga9020	https://technocenter.in.ua/image/cache/catalog/makita/ga9020_makita-500x500-400x400.jpg	43507473	Болгарки
7371.00 UAH	Болгарка (Кутова Шліфмашина) Makita GA7020	Болгарка (кутова шліфмашина) makita GA7020	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/kutova-shlifmashina-makita-ga7020	https://technocenter.in.ua/image/cache/catalog/makita/makita-70202-500x500-400x400.jpg	1268553402	Болгарки
4200.00 UAH	Болгарка (Кутова Шліфмашина) Makita GA5030	Болгарка (кутова шліфмашина) makita GA5030	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky?product_id=18895	https://technocenter.in.ua/image/cache/catalog/makita/Kutova%20shlifmashyna%20Makita%20GA5030-500x500-400x400.jpg	2307068087	Болгарки
4257.00 UAH	Болгарка (Кутова Шліфмашина)  Metabo w 850-125 850 Вт, М14 (603611000)	Болгарка (кутова шліфмашина)  metabo w 850-125 850 вт, М14 (603611000)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky?product_id=18872	https://technocenter.in.ua/image/cache/catalog/Metabo/74_600-500x500%20(1)-400x400.jpg	3639496376	Болгарки
3577.00 UAH	Болгарка (Кутова Шліфмашина)  Metabo w 850-125 (603608010)	Болгарка (кутова шліфмашина)  metabo w 850-125 (603608010)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/kutova-shlifuvalna-mashina-metabo-w-850-125	https://technocenter.in.ua/image/cache/catalog/makita-1317C/wev-850-125-0361100s_51-400x400.jpg	1100980239	Болгарки
8099.00 UAH	Болгарка (Акумуляторна Кутова Шліфмашина) Metabo Wb 18 Ltx Bl 125 Quick Каркас (613077840)	Болгарка (акумуляторна кутова шліфмашина) metabo wb 18 ltx bl 125 quick каркас (613077840)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/bolgarka-akkumulyatornaya-uglovaya-shlifmashina-metabo-wb-18-ltx-bl-125-quick-karkas-613077840	https://technocenter.in.ua/image/cache/catalog/Metabo/metabo-wb-18-ltx-bl-125-quick-500x500-400x400.jpg	1428539740	Болгарки
12120.00 UAH	Болгарка (Акумуляторна Кутова Шліфмашина)  Makita X-LOCK DGA521ZX1	Болгарка (акумуляторна кутова шліфмашина)  makita X-LOCK DGA521ZX1	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky/akumulyatorna-kutova-shlifmashina-makita-x-lock-dga521zx1	https://technocenter.in.ua/image/cache/catalog/makita/DGA521ZX1_makita2-500x500-500x500-400x400.jpg	338965457	Болгарки
8154.00 UAH	Болгарка (Акумуляторна Кутова Шліфмашина) Makita DGA504Z	Болгарка (акумуляторна кутова шліфмашина) makita DGA504Z	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky?product_id=18892	https://technocenter.in.ua/image/cache/catalog/makita/Bolgarka%20Makita%20DGA504Z-500x500-400x400.jpg	974635154	Болгарки
5693.00 UAH	Болгарка (Акумуляторна Кутова Шліфмашина)  Metabo w 18 7-125 (602371850)	Болгарка (акумуляторна кутова шліфмашина)  metabo w 18 7-125 (602371850)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/bolgarky?product_id=18869	https://technocenter.in.ua/image/cache/catalog/w-18-7-125-0237184s_51-400x400.jpg	3769280004	Болгарки
5103.00 UAH	Акумуляторний дриль-шурупокрут Metabo Powermaxx BS; Акум. 12V 1X2AH LI-POWER; Зар.Пристрій Lc 12; Наб.Біт 9 шт; Пластиковий Кофр (600984500/1-2а/N1)	Акумуляторний дриль-шурупокрут metabo powermaxx BS; акум. 12V 1X2AH LI-POWER; зар.Пристрій lc 12; наб.Біт 9 шт; пластиковий кофр (600984500/1-2а/N1)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty/akkumulyatornaya-drel-shurupovert-metabo-powermaxx-bs-akum-12v-1x2ah-li-power-zarustrojstvo-lc-12-nabbit-9-sht-plastikovyj-kofr-6009845001-2an1	https://technocenter.in.ua/image/cache/catalog/Metabo/366444386-400x400.jpg	1919411416	Шурупокрути
6540.00 UAH	Акумуляторний дриль-шурупокрут Metabo Powermaxx Bs Bl Q; Акум. 12V 2X2AH LI-POWER; Зар.Пристрій Lc 40; Пластиковий Кофр (601749500)	Акумуляторний дриль-шурупокрут metabo powermaxx bs bl Q; акум. 12V 2X2AH LI-POWER; зар.Пристрій lc 40; пластиковий кофр (601749500)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty/akumulyatornij-dril-shurupokrut-metabo-powermaxx-bs-bl-q-akum-12v-2x2ah-li-power-zarpristrij-lc-40-plastikovij-kofr-601749500	https://technocenter.in.ua/image/cache/catalog/Metabo/601749500_1-700x700-400x400.jpg	3599182137	Шурупокрути
4825.00 UAH	Акумуляторний дриль-шурупокрут Metabo Powermaxx Bs BASIC; Акум. 12V 2X2AH LI-POWER; Зар.Пристрій Lc 12; Пластиковий Кофт (600984500)	Акумуляторний дриль-шурупокрут metabo powermaxx bs BASIC; акум. 12V 2X2AH LI-POWER; зар.Пристрій lc 12; пластиковий кофт (600984500)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty/akumulyatornij-dril-shurupokrut-metabo-powermaxx-bs-basic-akum-12v-2x2ah-li-power-zarpristrij-lc-12-plastikovij-koft-600984500	https://technocenter.in.ua/image/cache/catalog/Metabo/metabo_600984500_powermaxx-bs-basic-400x400.jpg	1716844115	Шурупокрути
5331.00 UAH	Акумуляторний дриль-шурупокрут Metabo Powermaxx  BS; Акум. 12V 1X2AH LI-POWER; Зар.пристрій; Наб.Біт 9 шт; Сумка Для Інструменту (600079550/1-2a/N1)	Акумуляторний дриль-шурупокрут metabo powermaxx  BS; акум. 12V 1X2AH LI-POWER; зар.пристрій; наб.Біт 9 шт; сумка для інструменту (600079550/1-2a/N1)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty/akumulyatornij-dril-shurupokrut-metabo-powermaxx-bs-akum-12v-1x2ah-li-power-zarpristrij-nabbit-9-sht-sumka-dlya-instrumentu-6000795501-2an1	https://technocenter.in.ua/image/cache/catalog/Metabo/powermaxx-bs-set-0007951_12v_s_51-400x400.jpg	2916577056	Шурупокрути
5480.00 UAH	Акумуляторний дриль-шурупокрут Metabo BS; Акум. 18V 1X2AH LI-POWER; Зар.Пристрій Sc 30; Metabox 145 (602207560/1-2Аг)	Акумуляторний дриль-шурупокрут metabo BS; акум. 18V 1X2AH LI-POWER; зар.Пристрій sc 30; metabox 145 (602207560/1-2Аг)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty/akkumulyatornaya-drel-shurupovert-metabo-bs-akum-18v-1x2ah-li-power-zarustrojstvo-sc-30-metabox-145-6022075601-2ag	https://technocenter.in.ua/image/cache/catalog/Metabo/602207560-500x500-400x400-400x400.jpg	1092770284	Шурупокрути
4285.00 UAH	Акумуляторний дриль-шуруповерт Powermaxx BS; Акум. 12V 1X2AH LI-POWER; Зар.Пристрій Lc 12; Наб.Біт 9 Шт, Карт.Коробка   (600984000/1-2a/N1)	Акумуляторний дриль-шуруповерт powermaxx BS; акум. 12V 1X2AH LI-POWER; зар.Пристрій lc 12; наб.Біт 9 шт, карт.Коробка   (600984000/1-2a/N1)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty/akkumulyatornaya-drel-shurupovert-powermaxx-bs-basic-akum-12v-2x2ah-li-power-zar-ustrojstvo-lc-12-nab-bit-9-sht-karton-korobka-6009840001-2an1	https://technocenter.in.ua/image/cache/catalog/Metabo/powermaxx-bs-basic-0098400_12v_20s_51-400x400.jpg	2491829997	Шурупокрути
3052.00 UAH	Мережевий дриль-шурупокрут Makita DF0300	Мережевий дриль-шурупокрут makita DF0300	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty/merezhevij-dril-shurupokrut-makita-df0300	https://technocenter.in.ua/image/cache/catalog/makita/DF0300%20Makita-500x500-400x400.jpg	941129857	Шурупокрути
6251.00 UAH	Акумуляторний Шурупокрут Makita DF333DWYE	Акумуляторний шурупокрут makita DF333DWYE	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty/akumulyatornij-shurupokrut-makita-df333dwye	https://technocenter.in.ua/image/cache/catalog/makita/Makita%20DF333DWYE-500x500-400x400.jpg	1049454202	Шурупокрути
7533.00 UAH	Акумуляторний Ударний Гвинтокрут Makita DTD156SF	Акумуляторний ударний гвинтокрут makita DTD156SF	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty?product_id=19196	https://technocenter.in.ua/image/cache/catalog/dtd156sf_makita1-400x400.jpg	3880324318	Шурупокрути
6211.00 UAH	Акумуляторний Ударний Гвинтоверт Makita Dtd 153 z	Акумуляторний ударний гвинтоверт makita dtd 153 z	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty/akumulyatornij-udarnij-gvintovert-makita-dtd-153-z	https://technocenter.in.ua/image/cache/catalog/makita/1155357_4-400x400.jpeg	3539885453	Шурупокрути
5700.00 UAH	Акумуляторний дриль-шурупокрут Metabo Powermaxx Bs Basic 12B (Картон) (600984000)	Акумуляторний дриль-шурупокрут metabo powermaxx bs basic 12B (картон) (600984000)	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty?product_id=19184	https://technocenter.in.ua/image/cache/catalog/Metabo/powermaxx-bs-basic-0098400_12v_20s_51%20(1)-400x400.jpg	2877782350	Шурупокрути
11142.00 UAH	Акумуляторний дриль-шурупокрут Metabo Bs Basic 18 Set Mobile Workshop	Акумуляторний дриль-шурупокрут metabo bs basic 18 set mobile workshop	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty?product_id=18871	https://technocenter.in.ua/image/cache/catalog/bs-18-set-0220788s_51-400x400.jpg	380352456	Шурупокрути
8879.00 UAH	Акумуляторний дриль-шурупокрут Metabo Bs 18	Акумуляторний дриль-шурупокрут metabo bs 18	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty?product_id=18874	https://technocenter.in.ua/image/cache/catalog/602207560-500x500-400x400.jpg	1479403266	Шурупокрути
6251.00 UAH	Акумуляторний дриль-шурупокрут Makita DF333DWAE Кейс	Акумуляторний дриль-шурупокрут makita DF333DWAE кейс	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty/akumulyatornij-dril-shurupokrut-makita-df333dwae-kejs	https://technocenter.in.ua/image/cache/catalog/makita/Makita%20DF333DWYE-500x500-400x400.jpg	3047992120	Шурупокрути
12336.00 UAH	Акумуляторний дриль-шурупокрут Makita DDF486Z	Акумуляторний дриль-шурупокрут makita DDF486Z	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty/akumulyatornij-dril-shurupovert-makita-ddf486z	https://technocenter.in.ua/image/cache/catalog/makita/ddf486z_makita-400x400.jpg	680218063	Шурупокрути
6375.00 UAH	Акумуляторний дриль-шуруповерт Makita Ddf 459 z	Акумуляторний дриль-шуруповерт makita ddf 459 z	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty/akumulyatornij-dril-shurupovert-makita-ddf-459-z	https://technocenter.in.ua/image/cache/catalog/makita/Makita-DDF456Z-400x400.jpg	3391470430	Шурупокрути
6090.00 UAH	Акумуляторний Гайкокрут Makita DTW180Z	Акумуляторний гайкокрут makita DTW180Z	https://technocenter.in.ua/uk/elektroinstrument-i-komplektuyuchie/shurupoverty?product_id=19197	https://technocenter.in.ua/image/cache/catalog/dtw180z_makita3-400x400.jpg	1586365493	Шурупокрути
9699.00 UAH	Пароочищувач Karcher Sc 3 Easyfixвт Premium	Пароочищувач karcher sc 3 easyfixвт premium	https://technocenter.in.ua/uk/tehnika-dlya-pribirannya/professionalnye-parogeneratori/paroochishuvach-karcher-sc-3-easyfixvt-premium	https://technocenter.in.ua/image/cache/catalog/Karcher/karcher-sc3-premium-2-500x500-400x400.jpg	2241760193	Пароочищувачі
6099.00 UAH	Пароочищувач Karcher Sc 2 Easyfix	Пароочищувач karcher sc 2 easyfix	https://technocenter.in.ua/uk/tehnika-dlya-pribirannya/professionalnye-parogeneratori/paroochishuvach-karcher-sc-2-easyfix	https://technocenter.in.ua/image/cache/catalog/makita-1317C/d0%20(3)-400x400.jpg	1415996029	Пароочищувачі
