Price	Item title	Item description	Final URL	Image URL	ID	Item Category
83.99 USD	Ugears Hurdy-Gurdy	Introducing Hurdy-Gurdy, ugears newest creation that is completely different from all the previous models. It’s not a vehicle, or it is a nifty knickknack, or even a mini town. Hurdy-Gurdy is the actual string musical instrument: the world’s first wooden fully-functioning mechanical model that is all-in-one, a model for assembly, a puzzle, a toy and a completely functioning musical instrument. The idea of creating Hurdy-Gurdy takes us back to 16th century france, where this organistrum started its journey. This model is an exact replica of medieval french instrument, however unlike its original, ugears Hurdy-Gurdy features intricately detailed exquisite decor, that makes this model not only an instrument, but an esthetically pleasing work of fine craftsmanship.	https://ugearsmodels.us/catalog/ugears-hurdy-gurdy/	https://ugearsmodels.us/wp-content/uploads/2017/10/01-Hurdy-Gurdya-600x600.jpg	4820184120648	Catalog
23.99 USD	Ugears Combination Lock	If you are looking for a bit of security with a hint of steampunk style, this is it! Inspired by “The davinci Code” we’ve created a ugears working 3-digit combination lock featuring a padlock style eyelet for hanging and an internal compartment to keep small items and secrets hidden away. Submerge into the intriguing world of conspirology and cryptography by trying to create your own davinci code cryptex with 1000 combinations of a 3-digit code. Assemble ugears combination lock and learn some of the modern combination locks principles.	https://ugearsmodels.us/catalog/combination-lock/	https://ugearsmodels.us/wp-content/uploads/2016/12/combo-lock-600x600.jpg	4820184120297	Catalog
99.99 USD	Ugears Tanker	Another sophisticated item from our wooden vehicles collection is the tanker. Based on UGM-11 truck, the mechanical tanker model is equipped with a four-cylinder rubber band engine and features a real-life like transmission that sets the tanker in “drive”, “reverse” and “neutral” mode. What makes this models unique and exciting is a real tanker with the opening mechanism! Tanker fits and can carry a standard 8 oz. Soda can.	https://ugearsmodels.us/catalog/tanker/	https://ugearsmodels.us/wp-content/uploads/2017/03/01.-UGears-Tanker-600x600.jpg	4820184120303	Catalog
83.99 USD	Ugears Ugm 11 Truck	Ugears UGM-11 truck represents a new generation of our mechanical models offering a higher level of sophistication and some new components. It is a feature-packed reproduction of a vintage truck resembling the iconic 1920’s ford model. A set of rubber-bands powers a chattering four-cylinder engine with moving pistons as well as a capable of shifting into forward, neutral, park, and reverse transmission.  Inside the cabin is a working steering wheel and accelerator pedal that actually revs the engine. The UGM-11 truck is what we call a 100% “Rubberpunk”; it is a perfect combination of both, clockwork and steampunk worlds. We deliberately designed this model to have a raw, open look so even the casual observer could appreciate the marvels going on inside. This wooden truck kit may take some time to build, but the outcome is absolutely worth the effort for those who love mechanics.	https://ugearsmodels.us/catalog/ugm-11-truck/	https://ugearsmodels.us/wp-content/uploads/2016/10/01.-UGears-Truck-UGM-11-600x318.jpg	4820184120259	Catalog
83.99 USD	Ugears Additions To Truck	Ugears truck series with three additions (tanker, fire ladder, trailer сhassis) is a new generation of our mechanical models with more technical elements and details that add up sophistication and excitement to the engaging assembly process. The set of additions for UGM-11 truck makes it possible to turn the truck into a tanker or fire truck with a ladder and assemble the Truck’s trailer.	https://ugearsmodels.us/catalog/additions-to-truck/	https://ugearsmodels.us/wp-content/uploads/2016/10/01.-Set-of-additions-UGears-600x600.jpg	4820184120280	Catalog
33.99 USD	Ugears Tractor	Put on your farmer hat and set off to the fields with ugears vintage tractor model. This sophisticated, real-life mechanical toy requires no batteries or electrical gears to operate. Simply crank up thetractor rubber band motor and  watch it sow a smile on your favorite farmer’s face!	https://ugearsmodels.us/catalog/tractor/	https://ugearsmodels.us/wp-content/uploads/2016/10/01.-Tractor-UGears-1-600x600.jpg	4820184120181	Catalog
23.99 USD	Ugears Tractor`s Trailer	Every farmer finds essential to add a trailer to a farm tractor . Hooked together, ugears tractor and ugears trailer make an ultimate farming tandem ready to set off to the fields! Complete with pitchfork, shovel, and a bucket with a broom for a clean-up, it’ll serve every busy farmer’s need.	https://ugearsmodels.us/catalog/tractors-trailer/	https://ugearsmodels.us/wp-content/uploads/2016/10/01.-Trailer-600x600.jpg	4820184120143	Catalog
83.99 USD	Ugears Railway Platform	Add tracks, a passenger station, and a railroad crossing to your steam locomotive with ugears railway platform. This set features a beautiful Victorian-era rail station complete with a clock, lamp post and a bench. It also has a secret locking drawer for valuables, 29 inches of additional tracks, and a pair of crossing gates that raise and lower at the touch of a lever.	https://ugearsmodels.us/catalog/railway-platform/	https://ugearsmodels.us/wp-content/uploads/2016/10/01.-Railway-Platform-UGears-1-600x516.jpg	4820184120242	Catalog
42.99 USD	Ugears Tram On Rails	Hop on this delightful retro streetcar for a ride to remember. Ugears tram on rails is by far one the most romantic models in our catalog. Inspired by the earliest streetcars and funiculars, like other ugears vehicle models, it features a wind-up rubber band motor. With the rails in level mode watch the tram clatter to its destination or raise one side of the tracks and watch the gear-driven transmission control the Tram’s gentle descent.	https://ugearsmodels.us/catalog/tram-on-rails/	https://ugearsmodels.us/wp-content/uploads/2016/10/01.-Ugears-Tram-1-600x600.jpg	4820184120198	Catalog
12.99 USD	Ugears Tribiks	Self-assembly tribiks model with no glue or any special tools (the parts are finished and can be simply removed from the board).The material is ecological plywood.The package size is 4x3x.19in product size: l*w*h:  2x2x1in	https://ugearsmodels.us/catalog/tribiks/	https://ugearsmodels.us/wp-content/uploads/2017/03/01.-Ugears-U-Fidget-Tribiks-Power-Freedom-600x502.jpg	4820184120587	Catalog
12.99 USD	Ugears Date Navigator	Date navigator is another captivating item in a shiny array of ugears new models. It will keep track of time for you and will help predict if your birthday falls on a weekend! With its beautiful steampunk planetary mechanism day navigator will allow you to peek into the future to find out what day of the week certain date will be.	https://ugearsmodels.us/catalog/ugears-date-navigator/	https://ugearsmodels.us/wp-content/uploads/2017/09/01.-Ugears-Date-Navigator-600x600.jpg	4820184120655	Catalog
42.99 USD	Ugears Rails	Ugears rails with crossing is an exciting addition to ugears locomotive model. Because where there is a railroad – there is a crossing, and the featured kit includes both. With this set you’ll get 13ft of tracks and a crossing complete with stop sign and raising and lowering gates activated by a lever.	https://ugearsmodels.us/catalog/rails/	https://ugearsmodels.us/wp-content/uploads/2017/07/ugears-rails-1-600x400.jpg	4820184120266	Catalog
34.99 USD	Ugears Business Card Holder	Add a touch of clever whimsy to your home or office with ugears business card holder. This pretty little box, or “etui” is a delightful decorative way to hold business cards or store some of your cherished knick-knacks. Press the side lever to gracefully raise and open the box to reveal its content. The kit includes two interchangeable panels – one for easily removing cards and the other for keeping small items from spilling out.	https://ugearsmodels.us/catalog/mechanical-box/	https://ugearsmodels.us/wp-content/uploads/2016/10/01.-Etui-UGears-2-600x600.jpg	4820184120211	Catalog
44.99 USD	Ugears Timer	Ugears timer model is one of most original, exquisite and refined ugears puzzles. This elegant mechanical device can count down from 1 to 20 minutes. Just set the Timer’s rubber band powered hand, wind the alarm, and watch the delightful clockwork ticking away in a relaxing rhythm. This beautiful meditative timepiece adds sophistication to any room!	https://ugearsmodels.us/catalog/timer/	https://ugearsmodels.us/wp-content/uploads/2016/09/01.-Timer-for-20-min-UGears-1-600x600.jpg	4820184120167	Catalog
64.99 USD	Ugears Amber Box	The amber box from ugears, the older sister of the antique box, is just as beautiful and fascinating as her little sister, but even more sophisticated. This beauty has all the cool features you can enjoy in the younger model with an extra touch: cleverly built-in natural amber inclusions to make your experience even more precious.This model will help you to sort and store your jewellery and small miscellanea in style. Your treasures will now be accommodated within four carved walls with delicate floral designs and oriental ornaments. But the main highlight of this model is five decorative elements made of natural amber. As you know, ugears models are built without glue or additional tools. All you need to put your new amber box together will be found inside the model’s package, including precious amber stones that will be secured on the lid on the box with special clever fixtures.	https://ugearsmodels.us/catalog/the-amber-box/	https://ugearsmodels.us/wp-content/uploads/2019/10/Amber-box-600x600.jpg	4820184121034	Catalog
41.99 USD	Ugears Flower	Ugears mechanical flower ‘etui’ is an elegant bud-shaped jewelry box whose petal doors open like a blossom at the turn of the ring. Featuring a stand of your choice of either ballerina or the tree of luck for holding and displaying jewelry, this ballerina 3D model makes a perfect gift for that special person in your life.	https://ugearsmodels.us/catalog/ugears-flower/	https://ugearsmodels.us/wp-content/uploads/2016/10/01.-Flower-UGears-600x600.jpg	4820184120273	Catalog
49.99 USD	Ugears Treasure Box	Another jewel of ugears collection of wooden models is an exquisite mechanical treasure box. Beautifully crafted, this item is more than just a puzzle and sophisticated storage. The delicately carved lid and sides invite you to take a glimpse into the mystery of moving parts and mechanics in action. The box is opened with a turn of a key that is beautifully embedded into its carved lid.	https://ugearsmodels.us/catalog/ugears-treasure-box/	https://ugearsmodels.us/wp-content/uploads/2017/10/01.-Ugears-Treasure-box-600x553.jpg	4820184120594	Catalog
69.99 USD	Ugears Cash Register	This vintage cash register is probably one of the most stylish ways to keep your money. This is a relatively big model that does looks sophisticated and elegant with its carved exterior and a visible mechanical part with gears and a lever. However, the cash resister has much more to offer and its functionality goes way beyond its beautiful art deco exterior.This model is inspired by the early 20th-century cash registers and features an automatic currency reception feature that is activated by a lever on the side as well as a counter that allows you to keep track of all the savings that are stored in the cash register.	https://ugearsmodels.us/catalog/ugears-cash-register/	https://ugearsmodels.us/wp-content/uploads/2020/07/01.-UGears-Cash-Register-600x600.jpg	4820184121119	Catalog
57.99 USD	Ugears Mechanical Aquarium	Have you ever been fascinated by the depths of the sea or ocean? have you ever dived and marveled at the underwater diversity and harmony? if you are one of such people, ugears offers you a change to bring these feelings to life by assembling our ‘Mechanical Aquarium’ model.This unique wooden puzzle features two fish chasing each other, as well as a tiny seahorse, observing the action from within algae fronds. The fish and the algae move parallel to each other but in different directions and with different speed, resembling the actual sea life rhythms.The idea of creating marine aquariums has been around for centuries, with the romans and the aztecs making the first recorded attempts. Maintaining the right conditions in such aquariums required frequently changing the water, so most of them were located near the sea or ocean shores. Creating the first ever balanced marine aquarium was credited to anna thynne, a renowned biologist, who managed to keep stony corals and seaweed alive in an aquarium in london for almost three years. This experiment of 1846 later inspired the creation of the world-famous london aquarium. As the years went by, technology came to aid the scientists and aquariums grew in complexity, featuring advanced lighting, aeration and filtration systems.Ugears lovers can now create their own mechanical aquarium without having to deal with all the above expenses and worries. All you need is our model and the desire to put it together!	https://ugearsmodels.us/catalog/ugears-mechanical-aquarium/	https://ugearsmodels.us/wp-content/uploads/2021/07/01.-Mechanical-Aquarium-600x600.jpg	4820184121263	Catalog
67.99 USD	Ugears Research Vessel	The ugears research vessel is a set that will make you forget about everything else and set sail towards exciting nautical adventures. Following the success of the ugears tugboat that employed a similar moving mechanism, the research vessel is a highly-detailed and fully-functional copy of the modern-day ice breakers and survey boats. Additionally, just like a tugboat, the gears of the research vessel are arranged in a way to produce the sound that is similar to the sound of a diesel engine.The set includes a bathyscape a motorboat and a lifeboat, all of which are easily and safely accommodated on the research vessel.	https://ugearsmodels.us/catalog/ugears-research-vessel/	https://ugearsmodels.us/wp-content/uploads/2020/07/01.-Ugears-Research-Vessel-600x600.jpg	4820184121126	Catalog
56.99 USD	Ugears Carousel	If you thought you know all ugears 3d puzzle sets with the most elegant and highly-detailed exterior, we have a surprise for you. The ugears carousel set not only features an astonishing level of detail and the gentle mechanism that sets it in motion, but it is also a unique tribute to the happiest days of our childhood.The carousel is a set for everyone who appreciates the iconic ugears style and attention to detail. This is a set that has it all but brought to an entirely new level of splendor.	https://ugearsmodels.us/catalog/ugears-carousel/	https://ugearsmodels.us/wp-content/uploads/2020/05/01.-Ugears-Carousel-Mechanical-600x600.jpg	4820184121072	Catalog
43.99 USD	Ugears Globus	The new ugears globus set provides a brand new look at an object we all know since school. Featuring an iconic ugears style, this model stands out among all the other ugears sets in the same category. This is more than a typical tabletop decoration for your office or study, but a unique element of décor that creates a sophisticated background to your daily work or study routine.	https://ugearsmodels.us/catalog/ugears-globus/	https://ugearsmodels.us/wp-content/uploads/2020/05/01.-Ugears-Globus-600x600.jpg	4820184121096	Catalog
41.99 USD	Ugears Flight Starter	Ugears flight starter, a new cool ballistic hand-held device for launching small aircraft is here to set you off for the skies!Traditional for all ugears mechanical models, the flight starter features the iconic skeleton steam-punk design that allows observing the work on its fascinating internal mechanism.The flight starter model is absolutely unique; its one-of-a-kind style is a pure reflection of our designers’ imagination. Looking like a mix of a starship, space station and a blaster gun from some of your favorite sci-fi movies, it is loaded with smart mechanics and super fun to play with the entire family!Use the starter for your own backyard air show or aircraft competition with three airplanes already included with each flight starter kit. Take it a step farther by adding a few models of your own creation! The Starters’ versatile design allows you to launch any hand-crafted airship made of paper, cardboard or plywood.	https://ugearsmodels.us/catalog/ugears-flight-starter/	https://ugearsmodels.us/wp-content/uploads/2019/04/01.-Ugears-Flight-Starter-Launcher-600x600.jpg	4820184120976	Catalog
26.99 USD	Ugears Wolf-01 Handgun	Ugears Wolf-01 handgun, an authentic reproduction of  classic pistol for your little secret agent, spy or a detective! Newest in the line of ugears mechanical 3-d puzzles, this model features a real trigger action with a 5 cap revolver using a 60X1.5 mm caliber rubber bands. Designed in the best practices of ugears, Wolf-01 is made with high-quality natural wood materials. Nonetheless, Wolf-01 is hardly anything resembling plain wooden guns. It is a fully-functioning mechanical toy hand gun with an effective firing range up to 32 feet. Completely safe, it offers a huge load of secure and peaceful fun! Perfect for detective and action role plays, magic tricks or target practice.	https://ugearsmodels.us/catalog/ugears-wolf-01-handgun/	https://ugearsmodels.us/wp-content/uploads/2018/03/gun-600x600.jpg	4820184120723	Catalog
43.99 USD	Ugears Stagecoach	Ugears introduces  stagecoach, a historic transportation forerunner of  ugears steam locomotive. Designed in the best traditions of legendary john Ford’s western, ugears stagecoach features a solid frame, sturdy wheels and a detailed cabin equipped with fully functioning doors and two cargo crates on the roof. Like all of ugears mechanical vehicles, stagecoach produces the real motion. With a simple turn of winding key, stagecoach sets off to an important mission of delivering mail, packages and carrying passengers to points of destination.	https://ugearsmodels.us/catalog/ugears-stagecoach/	https://ugearsmodels.us/wp-content/uploads/2018/03/01.-UGears-Stagecoach-600x600.jpg	4820184120730	Catalog
12.99 USD	Ugears Flexi-Cubus	Ugears Flexi-Cubus is new addition to our mechanical 3-d puzzles collection. Flexi-Cubus is a geometrical toy in the form of a cube made of eight joint-connected spheres. Each sphere constitutes a mini-mechanism featuring a flexible connection that allows it to move and roll over one another creating various geometrical shapes. Designed as an anti-stress toy, Flexi-Cubus can help alleviate tension and stress and relieve anxiety.	https://ugearsmodels.us/catalog/ugears-flexi-cubus/	https://ugearsmodels.us/wp-content/uploads/2018/03/Cube-600x600.jpg	4820184120747	Catalog
36.99 USD	Ugears Heavy Boy Truck VM-03 Trailer	Ugears new “Heavy boy truck trailer VM-03” is an exciting must-have addition to ugears “Heavy boy truck VM-03”. Hooked up together, the truck and the trailer create the perfect tandem of working force, ready to take on any job, whether its an over-the road trip, a long haul, or a simple peddle run.	https://ugearsmodels.us/catalog/ugears-heavy-boy-truck-vm-03-trailer/	https://ugearsmodels.us/wp-content/uploads/2018/06/1-Ugears-Heavy-Boy-Truck-VM-03-Trailer-600x600.jpg	4820184120877	Catalog
83.99 USD	Ugears Aviator	Ugears Aviator: the very first flying machine model in ugears transportation vehicles collection.Are you dreaming of the sky?  fascinated by aircraft or simply a fan of aeronautics?  then, the aviator model is just what you need.  Become a flight navigator and a pilot and make your dreams come true with this exciting 3-in-1 set.Consisting of 3 separate modules; the flight control tower, the helicopter and the airplane; this model is great for beginner pilots and for experienced old-timers.  The control tower is used to launch and navigate aircraft, set them into roll and pitch modes and control speed and motion.  Choose one of two aircraft, attach it onto the tower bar and you are good to go.  Start with the helicopter, if you are a beginner pilot. Easier to control and manipulate, the helicopter has all the basic elements of a real aircraft: three-blade main and tail rotors, a cockpit with opening doors and a landing gear.The airplane module has a higher velocity and requires more skills to operate.  It’s designed is based on a prototype of wire-braced airplanes, with a 5-piston motor and may require a couple hours of flight training. Whichever wayward bird you choose to fly, the control tower is your cockpit and the main navigation device.  Its high-performance motor powers the swashplate, with the attached bar, that is used to connect the airplane on one side and has a balance weight on the other.  Get your flying helmet on…hold onto the wheel and get ready to become airborne! With ugears aviator, the sky is your limit!	https://ugearsmodels.us/catalog/ugears-aviator/	https://ugearsmodels.us/wp-content/uploads/2018/08/01.-Ugears-Aviator-600x600.jpg	4820184120839	Catalog
